gene_family_id	R5-3	M.roreri	B.botryosum	R0301	P.striiformis	P.oryzae	U.maydis	R10-1	R.solani	P.placenta	R1-6-1	R1-8-2
GF_163	4	6	2	1	1	4	3	4	2	3	5	5
GF_164	5	7	0	6	0	0	0	8	0	1	2	11
GF_165	0	39	0	0	1	0	0	0	0	0	0	0
GF_166	0	40	0	0	0	0	0	0	0	0	0	0
GF_167	4	2	6	5	0	1	0	4	4	3	4	6
GF_168	1	1	2	2	20	0	0	6	2	0	2	3
GF_169	4	4	4	4	1	5	1	4	5	0	4	3
GF_170	9	0	0	8	0	0	0	3	0	0	9	10
GF_171	0	0	0	0	37	2	0	0	0	0	0	0
GF_172	4	2	3	4	0	1	0	5	5	5	5	4
GF_173	0	0	0	0	0	0	0	0	0	38	0	0
GF_174	2	7	14	2	0	0	1	2	1	5	2	2
GF_175	3	4	10	2	0	5	0	3	3	1	3	4
GF_176	5	2	1	9	0	1	0	5	4	1	5	5
GF_177	4	1	0	4	0	2	0	4	11	0	5	7
GF_178	0	1	0	3	28	0	0	2	0	0	1	3
GF_179	0	38	0	0	0	0	0	0	0	0	0	0
GF_180	0	0	0	0	38	0	0	0	0	0	0	0
GF_181	0	34	0	0	0	0	0	0	0	3	0	0
GF_182	1	3	28	1	0	0	0	1	1	0	1	1
GF_183	2	17	4	2	0	5	0	2	0	0	2	3
GF_184	3	0	4	5	0	0	0	5	4	2	5	9
GF_185	3	1	3	3	0	9	4	3	4	1	3	3
GF_186	8	0	0	7	0	0	0	9	1	0	5	7
GF_187	2	3	11	2	2	0	1	2	3	6	2	2
GF_188	4	13	2	5	0	0	0	2	1	1	5	3
GF_189	7	0	0	5	0	0	0	6	6	0	6	6
GF_190	3	0	0	6	1	1	2	5	5	1	7	5
GF_191	8	0	0	7	0	0	0	6	1	0	7	7
GF_192	5	0	0	4	0	0	0	6	0	0	11	10
GF_193	3	0	0	5	0	0	0	5	4	0	9	10
GF_194	2	10	0	3	2	3	3	2	3	2	3	3
GF_195	0	0	0	0	36	0	0	0	0	0	0	0
GF_196	3	5	10	3	0	0	0	3	2	3	3	3
GF_197	6	0	1	8	0	0	0	7	0	0	5	8
GF_198	3	2	3	3	2	2	3	2	3	3	5	4
GF_199	5	5	4	5	0	0	0	4	3	1	4	4
GF_200	3	7	4	3	1	3	2	3	2	0	4	3
GF_201	4	3	2	4	3	2	0	4	2	3	4	4
GF_202	3	0	0	1	31	0	0	0	0	0	0	0
GF_203	7	0	0	6	0	0	0	7	0	0	7	8
GF_204	3	3	1	3	5	1	1	3	3	4	3	5
GF_205	0	0	0	0	35	0	0	0	0	0	0	0
GF_206	0	0	0	0	35	0	0	0	0	0	0	0
GF_207	1	7	0	1	8	3	2	1	1	8	1	1
GF_208	3	0	2	5	0	0	0	6	0	2	5	11
GF_209	2	6	5	2	5	1	1	3	4	0	3	2
GF_210	1	1	3	3	15	0	0	2	0	0	5	4
GF_211	0	0	0	0	0	0	0	0	34	0	0	0
GF_212	3	0	0	3	0	0	0	3	19	0	3	3
GF_213	4	0	0	8	0	1	2	4	3	0	4	8
GF_214	0	34	0	0	0	0	0	0	0	0	0	0
GF_215	3	2	2	4	0	6	0	3	3	3	3	4
GF_216	5	1	1	2	9	2	2	4	1	3	1	2
GF_217	3	2	6	3	2	2	2	3	2	2	3	3
GF_218	2	2	12	2	2	2	1	2	3	1	2	2
GF_219	4	2	8	4	0	1	0	4	2	0	4	4
GF_220	2	1	14	2	1	0	1	3	2	1	3	3
GF_221	4	5	1	3	0	0	0	3	5	0	6	6
GF_222	4	0	0	6	0	1	0	5	1	0	9	7
GF_223	8	0	0	4	0	1	1	4	5	1	7	2
GF_224	4	2	1	4	4	0	0	6	3	1	4	4
GF_225	4	3	1	4	3	0	0	4	5	1	4	4
GF_226	0	0	0	7	0	0	0	11	3	0	4	8
GF_227	0	4	0	0	25	0	0	1	0	0	2	1
GF_228	0	0	0	0	33	0	0	0	0	0	0	0
GF_229	0	33	0	0	0	0	0	0	0	0	0	0
GF_230	3	3	3	3	3	2	2	2	2	3	3	3
GF_231	2	1	10	4	0	4	0	1	1	3	2	4
GF_232	3	1	3	5	2	1	1	4	2	1	4	5
GF_233	5	4	2	4	0	0	0	5	2	1	4	5
GF_234	4	2	4	4	0	0	0	6	3	1	4	4
GF_235	1	7	0	2	3	3	2	1	10	0	1	2
GF_236	4	2	1	4	0	2	2	4	4	1	4	4
GF_237	4	2	1	4	4	0	0	4	4	1	4	4
GF_238	3	1	1	3	0	1	1	7	1	1	7	6
GF_239	3	4	2	3	3	1	2	3	3	1	3	4
GF_240	0	0	0	0	32	0	0	0	0	0	0	0
GF_241	0	0	0	0	32	0	0	0	0	0	0	0
GF_242	3	0	4	4	0	1	0	5	3	4	3	4
GF_243	3	2	4	3	2	3	1	3	2	2	3	3
GF_244	2	5	5	2	1	2	3	2	3	2	2	2
GF_245	3	4	2	4	1	1	0	3	3	3	3	4
GF_246	3	0	8	5	0	0	0	4	0	0	7	4
GF_247	3	2	6	3	2	1	1	3	2	2	3	3
GF_248	3	2	6	3	0	0	0	3	4	4	2	4
GF_249	1	18	6	1	0	0	0	1	1	1	1	1
GF_250	3	3	4	3	1	3	1	3	3	1	3	3
GF_251	2	7	3	2	0	5	0	2	6	0	2	2
GF_252	3	9	5	2	0	0	0	5	1	0	3	3
GF_253	2	8	4	1	7	1	0	2	1	2	1	2
GF_254	3	1	1	4	0	0	0	4	11	0	4	3
GF_255	7	0	0	6	0	0	0	3	2	0	7	6
GF_256	3	5	2	3	2	1	2	3	2	2	3	3
GF_257	3	3	2	4	1	1	1	4	2	2	4	4
GF_258	3	1	2	3	1	2	2	4	2	2	5	4
GF_259	4	1	1	4	1	1	0	4	3	1	3	8
GF_260	2	2	2	3	1	2	2	4	3	2	4	4
GF_261	3	1	1	7	1	1	1	3	4	1	2	6
GF_262	3	1	1	3	0	9	0	3	3	2	3	3
GF_263	0	31	0	0	0	0	0	0	0	0	0	0
GF_264	0	31	0	0	0	0	0	0	0	0	0	0
GF_265	0	0	0	0	0	0	0	0	0	30	0	0
GF_266	2	3	4	4	2	1	1	2	2	3	2	4
GF_267	1	0	18	1	0	2	1	1	1	3	1	1
GF_268	2	2	13	2	0	0	0	3	4	0	2	2
GF_269	0	1	28	0	0	0	0	0	0	1	0	0
GF_270	1	19	0	1	0	1	1	1	3	1	1	1
GF_271	6	0	0	4	0	0	0	7	0	0	6	7
GF_272	4	3	1	3	3	0	0	4	2	1	4	5
GF_273	6	1	1	4	0	0	0	6	1	1	8	2
GF_274	5	0	0	7	0	0	0	5	2	0	5	6
GF_275	4	0	0	6	0	1	1	4	6	0	4	4
GF_276	3	8	1	3	2	0	0	3	1	0	3	6
GF_277	0	0	0	0	0	0	0	0	30	0	0	0
GF_278	2	3	2	2	1	1	1	2	8	1	2	5
GF_279	0	0	0	0	30	0	0	0	0	0	0	0
GF_280	0	0	0	0	30	0	0	0	0	0	0	0
GF_281	4	2	1	4	0	1	0	4	1	4	4	4
GF_282	2	3	3	2	1	2	1	2	7	2	2	2
GF_283	0	1	0	0	0	0	0	0	0	28	0	0
GF_284	3	2	1	3	2	2	1	3	3	3	3	3
GF_285	0	0	27	0	0	2	0	0	0	0	0	0
GF_286	4	1	3	4	0	2	2	3	2	1	3	4
GF_287	2	1	11	2	2	0	2	2	2	1	2	2
GF_288	3	7	2	2	2	2	0	2	2	3	2	2
GF_289	4	0	1	3	0	0	0	7	4	0	3	7
GF_290	4	2	1	4	1	1	1	4	2	1	4	4
GF_291	5	0	0	5	0	0	0	5	4	0	5	5
GF_292	2	4	1	2	5	4	1	2	4	0	2	2
GF_293	3	0	0	8	0	0	0	4	0	0	7	7
GF_294	4	1	1	4	0	0	1	4	4	1	4	5
GF_295	3	2	0	4	3	1	0	4	3	1	4	4
GF_296	2	5	1	3	2	0	5	2	2	2	2	3
GF_297	0	28	0	0	0	0	0	0	1	0	0	0
GF_298	1	3	0	1	17	0	1	1	1	1	1	2
GF_299	0	29	0	0	0	0	0	0	0	0	0	0
GF_300	1	4	3	2	4	2	1	2	2	4	1	2
GF_301	3	2	3	3	0	1	1	3	3	3	3	3
GF_302	2	1	2	2	3	2	2	1	1	5	3	4
GF_303	2	1	3	2	5	1	2	2	1	4	3	2
GF_304	1	11	4	1	2	2	0	1	2	1	1	2
GF_305	0	6	21	0	0	0	0	0	0	1	0	0
GF_306	3	1	8	3	0	0	0	3	3	1	3	3
GF_307	3	1	2	4	0	4	0	3	4	0	3	4
GF_308	2	1	15	2	0	0	0	2	2	0	2	2
GF_309	3	5	0	2	1	1	2	2	6	0	3	3
GF_310	5	1	1	4	0	0	0	2	2	1	7	5
GF_311	4	0	0	5	1	0	0	4	4	0	4	6
GF_312	4	2	0	3	0	2	0	4	4	2	4	3
GF_313	3	1	1	3	0	3	1	5	1	1	6	3
GF_314	2	3	2	3	1	1	1	5	3	2	3	2
GF_315	4	0	0	3	0	0	0	7	0	0	1	13
GF_316	3	0	0	7	0	0	0	9	0	0	0	9
GF_317	1	1	1	3	1	1	1	6	2	1	6	4
GF_318	3	3	2	2	4	1	2	3	2	1	3	2
GF_319	0	0	0	0	28	0	0	0	0	0	0	0
GF_320	0	0	0	0	0	0	0	0	0	27	0	0
GF_321	2	2	2	2	2	4	2	2	2	3	2	2
GF_322	3	1	3	3	0	1	1	2	2	6	2	3
GF_323	3	4	3	3	2	0	0	3	1	2	3	3
GF_324	3	3	1	3	0	1	1	3	2	4	3	3
GF_325	2	2	6	2	2	1	1	2	2	3	2	2
GF_326	2	1	1	4	1	1	1	2	2	7	2	3
GF_327	1	0	2	1	0	2	0	1	1	17	1	1
GF_328	3	2	3	3	0	1	0	3	3	3	3	3
GF_329	2	3	5	3	1	1	1	2	2	2	2	3
GF_330	0	0	27	0	0	0	0	0	0	0	0	0
GF_331	1	6	3	1	1	3	2	2	1	5	1	1
GF_332	3	1	4	3	0	1	1	3	4	1	3	3
GF_333	0	11	16	0	0	0	0	0	0	0	0	0
GF_334	2	3	5	2	2	3	1	2	2	1	2	2
GF_335	3	3	2	2	0	2	2	3	3	1	3	3
GF_336	2	1	1	4	1	0	1	4	6	1	3	3
GF_337	1	1	4	1	7	0	0	2	2	6	2	1
GF_338	2	6	5	2	1	1	0	2	3	1	2	2
GF_339	2	3	3	2	2	1	1	2	3	3	3	2
GF_340	4	1	1	4	1	1	1	4	2	1	4	3
GF_341	5	0	0	4	0	0	0	8	1	0	3	6
GF_342	4	0	0	7	0	0	0	4	0	0	6	6
GF_343	3	0	0	6	0	0	0	5	3	0	5	5
GF_344	0	26	0	0	0	0	0	0	0	1	0	0
GF_345	0	25	0	0	0	0	0	0	0	2	0	0
GF_346	0	27	0	0	0	0	0	0	0	0	0	0
GF_347	4	11	0	2	0	0	0	2	3	1	2	2
GF_348	0	5	2	0	20	0	0	0	0	0	0	0
GF_349	0	1	1	0	24	0	0	0	0	1	0	0
GF_350	0	0	0	0	27	0	0	0	0	0	0	0
GF_351	0	0	0	0	27	0	0	0	0	0	0	0
GF_352	0	0	0	0	27	0	0	0	0	0	0	0
GF_353	2	2	5	2	1	1	2	2	3	2	2	2
GF_354	2	2	2	2	4	1	2	2	2	3	2	2
GF_355	3	5	0	3	0	1	1	3	2	2	3	3
GF_356	2	2	1	2	0	1	1	2	4	7	2	2
GF_357	0	6	0	0	0	9	0	0	0	11	0	0
GF_358	2	2	2	3	2	2	2	2	2	2	2	3
GF_359	1	6	3	1	1	2	1	2	1	4	2	2
GF_360	2	3	3	2	0	6	1	1	2	3	2	1
GF_361	1	1	4	6	0	0	0	4	0	2	3	5
GF_362	3	3	4	3	0	2	0	3	1	1	3	3
GF_363	2	4	5	2	0	5	0	2	2	0	2	2
GF_364	3	2	3	4	1	3	1	2	1	2	2	2
GF_365	2	3	5	2	2	1	1	2	2	2	2	2
GF_366	3	1	2	3	0	0	0	3	0	3	5	6
GF_367	1	3	4	2	2	2	2	2	2	2	2	2
GF_368	2	1	3	2	0	0	0	7	0	0	3	8
GF_369	2	6	4	2	0	1	1	3	2	1	2	2
GF_370	2	3	3	2	1	3	2	2	2	2	2	2
GF_371	0	0	0	0	0	0	0	0	26	0	0	0
GF_372	2	0	0	0	0	0	0	4	7	0	5	8
GF_373	3	2	1	3	0	4	2	4	2	0	2	3
GF_374	2	0	0	5	0	1	0	5	3	1	4	5
GF_375	3	1	3	3	0	1	1	4	1	3	3	3
GF_376	4	1	1	4	0	2	1	3	1	1	4	4
GF_377	4	0	0	3	0	0	0	7	0	0	3	9
GF_378	3	5	1	3	0	1	1	4	1	3	2	2
GF_379	3	0	0	8	0	0	0	7	2	0	0	6
GF_380	3	2	2	3	0	1	1	3	2	1	3	5
GF_381	2	2	2	2	5	2	1	2	3	1	2	2
GF_382	0	26	0	0	0	0	0	0	0	0	0	0
GF_383	0	26	0	0	0	0	0	0	0	0	0	0
GF_384	0	5	0	0	0	21	0	0	0	0	0	0
GF_385	0	1	0	0	25	0	0	0	0	0	0	0
GF_386	0	26	0	0	0	0	0	0	0	0	0	0
GF_387	0	0	0	0	26	0	0	0	0	0	0	0
GF_388	2	2	0	2	0	5	3	2	1	4	2	2
GF_389	2	4	4	2	0	0	0	2	2	5	2	2
GF_390	2	2	4	3	1	0	2	2	2	2	2	3
GF_391	2	3	2	2	1	2	2	2	2	3	2	2
GF_392	1	4	4	1	3	3	1	1	2	3	1	1
GF_393	2	2	0	2	0	0	1	2	2	10	2	2
GF_394	2	2	2	2	2	2	2	3	2	2	2	2
GF_395	2	3	3	2	0	3	1	2	2	3	2	2
GF_396	3	2	4	3	0	0	0	3	4	0	3	3
GF_397	0	22	2	0	0	1	0	0	0	0	0	0
GF_398	2	2	2	2	3	2	2	2	2	2	2	2
GF_399	3	1	2	3	0	0	0	3	5	1	4	3
GF_400	1	2	4	3	2	3	3	1	2	1	2	1
GF_401	2	1	5	2	0	3	5	2	1	0	2	2
GF_402	1	0	19	1	0	0	0	1	1	0	1	1
GF_403	2	0	6	6	0	0	0	2	0	0	7	2
